Week,    DateRange,          PlannedEffort,  ActualEffort,  OtherDeadlines
4, 29th Jan -  4th Feb,8,              ,
5,  5th Feb - 11th Feb,                  ,              ,Networks Courswork + Bison Lab
6, 12th Feb - 18th Feb,                  ,              ,Electronics Lab Oral
7, 19th Feb - 25th Feb,                  ,              ,CodeGen Lab
8, 26th Feb -  4th Feb,                  ,              ,
9,  5th Mar - 11th Mar,                  ,              ,
10, 12th Mar - 18th Mar,                  ,              ,
11, 19th Mar - 27th Mar,                  ,              ,
